Inicio: 2025-08-18 08:00:00; Duracion: 1440 min
2025-08-18,08:43:46, Unidad: C°,S1: 12.75, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.19, S9: 12.81, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:44:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.31, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:45:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.31, S7: 13.44, S8: 13.19, S9: 12.75, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:46:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:47:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.06, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:48:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.50, S8: 13.25, S9: 12.81, S10: 13.19, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.06, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:49:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.19, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:50:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.13, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:51:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:52:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.50, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:53:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.88, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:54:46, Unidad: C°,S1: 12.75, S2: 12.75, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.13, S11: 12.56, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:55:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.13, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:56:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.06, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:57:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.75, S4: 13.13, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.06, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:58:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.31, S9: 12.75, S10: 13.13, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:59:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.13, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,09:00:46, Unidad: C°,S1: 12.88, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,09:01:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.50, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,09:02:46, Unidad: C°,S1: 12.75, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,09:03:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.25, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,09:04:46, Unidad: C°,S1: 12.81, S2: 12.75, S3: 12.75, S4: 13.13, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.75, S10: 13.19, S11: 12.50, S12: 12.88, S13: 12.69, S14: 13.00, S15: 13.00, S16: 12.94, S17: 12.75, S18: 12.94, S19: 13.00.
