Inicio: 2025-08-11 08:00:00; Duracion: 1440 min
2025-08-11,13:22:38, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.63, S4: 18.88, S5: 23.19, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.25, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:43, Unidad: C°,S1: 18.75, S2: 18.63, S3: 18.63, S4: 18.88, S5: 23.19, S6: 18.31, S7: 18.44, S8: 18.56, S9: 18.44, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:48, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.25, S7: 18.38, S8: 18.56, S9: 18.44, S10: 18.31, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:53, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.19, S6: 18.25, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:22:58, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.19, S6: 18.31, S7: 18.38, S8: 18.56, S9: 18.44, S10: 18.31, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.25.
2025-08-11,13:23:03, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.31, S7: 18.44, S8: 18.50, S9: 18.50, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.25.
2025-08-11,13:23:08, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.56, S4: 18.81, S5: 23.19, S6: 18.31, S7: 18.38, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.25.
2025-08-11,13:23:13, Unidad: C°,S1: 18.88, S2: 18.69, S3: 18.63, S4: 18.81, S5: 23.19, S6: 18.31, S7: 18.44, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.38, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.25.
2025-08-11,13:23:18, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.31, S7: 18.44, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.56, S12: 18.81, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.31.
2025-08-11,13:23:23, Unidad: C°,S1: 18.81, S2: 18.69, S3: 18.63, S4: 18.88, S5: 23.19, S6: 18.31, S7: 18.44, S8: 18.50, S9: 18.38, S10: 18.31, S11: 18.56, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:23:28, Unidad: C°,S1: 18.81, S2: 18.69, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.31, S7: 18.44, S8: 18.56, S9: 18.44, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.25.
2025-08-11,13:23:33, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.88, S5: 23.25, S6: 18.31, S7: 18.44, S8: 18.44, S9: 18.44, S10: 18.31, S11: 18.63, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.31.
2025-08-11,13:23:38, Unidad: C°,S1: 18.81, S2: 18.63, S3: 18.63, S4: 18.81, S5: 23.13, S6: 18.31, S7: 18.44, S8: 18.50, S9: 18.44, S10: 18.31, S11: 18.69, S12: 18.75, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.19, S20: 19.25.
2025-08-11,13:23:43, Unidad: C°,S1: 18.81, S2: 18.69, S3: 18.63, S4: 18.81, S5: 23.19, S6: 18.31, S7: 18.44, S8: 18.56, S9: 18.50, S10: 18.31, S11: 18.69, S12: 18.81, S13: 19.31, S14: 19.25, S15: 19.44, S16: 19.44, S17: 19.25, S18: 19.13, S19: 19.25, S20: 19.25.
