#Inicio: 2025-08-15 08:00:00; Duracion: 1440 min
2025-08-15,08:33:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:34:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:35:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.56, S6: 13.81, S7: 14.00, S8: 13.75, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:36:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:37:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.69, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:38:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:39:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:40:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:41:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:42:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:43:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.88, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:44:46, Unidad: C°,S1: 13.44, S2: 13.38, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:45:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:46:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.88, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:47:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.88, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:48:46, Unidad: C°,S1: 13.31, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.69, S6: 13.88, S7: 14.06, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:49:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:50:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:51:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:52:46, Unidad: C°,S1: 13.50, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.69, S6: 13.88, S7: 14.00, S8: 13.88, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:53:46, Unidad: C°,S1: 13.44, S2: 13.38, S3: 13.38, S4: 13.69, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:54:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:55:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:56:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.31, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:57:46, Unidad: C°,S1: 13.31, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.31, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:58:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:59:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.88, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,09:00:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.88, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,09:01:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.06, S8: 13.88, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,09:02:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.88, S9: 13.31, S10: 13.56, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,09:03:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.88, S9: 13.38, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,09:04:46, Unidad: C°,S1: 13.50, S2: 13.31, S3: 13.44, S4: 13.63, S5: 13.69, S6: 13.88, S7: 14.00, S8: 13.88, S9: 13.38, S10: 13.81, S11: 13.13, S12: 13.44, S13: 13.31, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,09:05:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.69, S6: 13.88, S7: 14.06, S8: 13.88, S9: 13.38, S10: 13.81, S11: 13.13, S12: 13.44, S13: 13.31, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,09:06:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.69, S5: 13.69, S6: 13.88, S7: 14.06, S8: 13.88, S9: 13.38, S10: 13.81, S11: 13.13, S12: 13.44, S13: 13.31, S14: 13.56, S15: 13.56, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
