#Inicio: 2025-08-20 08:00:00; Duracion: 1440 min
2025-08-20,08:42:22, Unidad: C°,S1: 2.06, S2: 2.63, S3: 2.06, S4: 2.75, S5: 2.06, S6: 2.06, S7: 2.81, S8: 2.94, S9: 2.38, S10: 3.00, S11: 2.31, S12: 2.63, S13: 2.38, S14: 2.69, S15: 2.50, S16: 2.44, S17: 2.19, S18: 2.44, S19: 2.25.
2025-08-20,08:43:22, Unidad: C°,S1: 2.19, S2: 2.63, S3: 2.13, S4: 2.75, S5: 2.06, S6: 2.06, S7: 2.88, S8: 2.94, S9: 2.38, S10: 3.00, S11: 2.31, S12: 2.63, S13: 2.38, S14: 2.69, S15: 2.50, S16: 2.44, S17: 2.19, S18: 2.44, S19: 2.25.
2025-08-20,08:44:22, Unidad: C°,S1: 2.13, S2: 2.63, S3: 2.13, S4: 2.75, S5: 2.06, S6: 2.13, S7: 2.88, S8: 2.94, S9: 2.44, S10: 3.00, S11: 2.31, S12: 2.63, S13: 2.38, S14: 2.75, S15: 2.50, S16: 2.44, S17: 2.19, S18: 2.44, S19: 2.25.
2025-08-20,08:45:22, Unidad: C°,S1: 2.13, S2: 2.63, S3: 2.13, S4: 2.75, S5: 2.13, S6: 2.13, S7: 2.88, S8: 2.94, S9: 2.44, S10: 3.06, S11: 2.31, S12: 2.63, S13: 2.44, S14: 2.75, S15: 2.50, S16: 2.50, S17: 2.25, S18: 2.44, S19: 2.31.
2025-08-20,08:46:22, Unidad: C°,S1: 2.06, S2: 2.63, S3: 2.13, S4: 2.75, S5: 2.06, S6: 2.06, S7: 2.81, S8: 3.00, S9: 2.44, S10: 2.94, S11: 2.31, S12: 2.63, S13: 2.44, S14: 2.75, S15: 2.50, S16: 2.50, S17: 2.25, S18: 2.44, S19: 2.31.
2025-08-20,08:47:22, Unidad: C°,S1: 2.06, S2: 2.63, S3: 2.13, S4: 2.75, S5: 2.13, S6: 2.06, S7: 2.88, S8: 2.94, S9: 2.44, S10: 3.06, S11: 2.38, S12: 2.63, S13: 2.44, S14: 2.75, S15: 2.50, S16: 2.50, S17: 2.25, S18: 2.44, S19: 2.31.
2025-08-20,08:48:22, Unidad: C°,S1: 2.13, S2: 2.63, S3: 2.13, S4: 2.69, S5: 2.13, S6: 2.19, S7: 2.88, S8: 3.00, S9: 2.38, S10: 2.94, S11: 2.38, S12: 2.63, S13: 2.44, S14: 2.75, S15: 2.50, S16: 2.50, S17: 2.25, S18: 2.50, S19: 2.31.
2025-08-20,08:49:22, Unidad: C°,S1: 2.25, S2: 2.69, S3: 2.19, S4: 2.69, S5: 2.13, S6: 2.13, S7: 2.94, S8: 2.94, S9: 2.44, S10: 3.06, S11: 2.38, S12: 2.63, S13: 2.44, S14: 2.75, S15: 2.50, S16: 2.50, S17: 2.25, S18: 2.50, S19: 2.31.
2025-08-20,08:50:22, Unidad: C°,S1: 2.19, S2: 2.69, S3: 2.19, S4: 2.75, S5: 2.13, S6: 2.13, S7: 2.88, S8: 2.94, S9: 2.38, S10: 3.06, S11: 2.38, S12: 2.69, S13: 2.44, S14: 2.75, S15: 2.50, S16: 2.50, S17: 2.25, S18: 2.50, S19: 2.31.
2025-08-20,08:51:22, Unidad: C°,S1: 2.13, S2: 2.69, S3: 2.19, S4: 2.81, S5: 2.13, S6: 2.06, S7: 2.94, S8: 3.00, S9: 2.38, S10: 3.06, S11: 2.38, S12: 2.69, S13: 2.44, S14: 2.75, S15: 2.56, S16: 2.50, S17: 2.25, S18: 2.50, S19: 2.31.
2025-08-20,08:52:22, Unidad: C°,S1: 2.19, S2: 2.69, S3: 2.19, S4: 2.75, S5: 2.13, S6: 2.19, S7: 2.94, S8: 3.00, S9: 2.38, S10: 3.06, S11: 2.38, S12: 2.69, S13: 2.44, S14: 2.75, S15: 2.56, S16: 2.50, S17: 2.25, S18: 2.50, S19: 2.31.
2025-08-20,08:53:22, Unidad: C°,S1: 2.13, S2: 2.75, S3: 2.19, S4: 2.75, S5: 2.19, S6: 2.19, S7: 2.88, S8: 3.00, S9: 2.44, S10: 3.06, S11: 2.38, S12: 2.69, S13: 2.50, S14: 2.75, S15: 2.56, S16: 2.56, S17: 2.25, S18: 2.50, S19: 2.38.
2025-08-20,08:54:22, Unidad: C°,S1: 2.13, S2: 2.75, S3: 2.19, S4: 2.81, S5: 2.19, S6: 2.13, S7: 2.94, S8: 3.00, S9: 2.44, S10: 3.06, S11: 2.38, S12: 2.69, S13: 2.50, S14: 2.75, S15: 2.56, S16: 2.56, S17: 2.31, S18: 2.50, S19: 2.38.
2025-08-20,08:55:22, Unidad: C°,S1: 2.25, S2: 2.75, S3: 2.19, S4: 2.81, S5: 2.19, S6: 2.19, S7: 2.94, S8: 3.06, S9: 2.50, S10: 3.06, S11: 2.44, S12: 2.69, S13: 2.50, S14: 2.81, S15: 2.56, S16: 2.56, S17: 2.31, S18: 2.50, S19: 2.38.
2025-08-20,08:56:22, Unidad: C°,S1: 2.25, S2: 2.75, S3: 2.19, S4: 2.81, S5: 2.19, S6: 2.19, S7: 2.94, S8: 3.06, S9: 2.50, S10: 3.13, S11: 2.44, S12: 2.75, S13: 2.50, S14: 2.81, S15: 2.56, S16: 2.56, S17: 2.31, S18: 2.50, S19: 2.38.
2025-08-20,08:57:22, Unidad: C°,S1: 2.19, S2: 2.75, S3: 2.19, S4: 2.81, S5: 2.19, S6: 2.25, S7: 2.94, S8: 3.06, S9: 2.44, S10: 3.06, S11: 2.44, S12: 2.75, S13: 2.50, S14: 2.81, S15: 2.56, S16: 2.56, S17: 2.31, S18: 2.56, S19: 2.38.
2025-08-20,08:58:22, Unidad: C°,S1: 2.25, S2: 2.75, S3: 2.25, S4: 2.81, S5: 2.19, S6: 2.19, S7: 2.94, S8: 3.06, S9: 2.50, S10: 3.13, S11: 2.44, S12: 2.75, S13: 2.50, S14: 2.81, S15: 2.56, S16: 2.56, S17: 2.31, S18: 2.56, S19: 2.38.
2025-08-20,08:59:22, Unidad: C°,S1: 2.25, S2: 2.75, S3: 2.19, S4: 2.88, S5: 2.19, S6: 2.19, S7: 2.94, S8: 3.06, S9: 2.50, S10: 3.06, S11: 2.44, S12: 2.75, S13: 2.50, S14: 2.81, S15: 2.63, S16: 2.56, S17: 2.31, S18: 2.56, S19: 2.38.
2025-08-20,09:00:22, Unidad: C°,S1: 2.25, S2: 2.75, S3: 2.25, S4: 2.88, S5: 2.19, S6: 2.25, S7: 2.94, S8: 3.06, S9: 2.50, S10: 3.13, S11: 2.44, S12: 2.75, S13: 2.50, S14: 2.81, S15: 2.63, S16: 2.56, S17: 2.31, S18: 2.56, S19: 2.44.
2025-08-20,09:01:22, Unidad: C°,S1: 2.25, S2: 2.75, S3: 2.25, S4: 2.88, S5: 2.25, S6: 2.25, S7: 2.94, S8: 3.06, S9: 2.56, S10: 3.13, S11: 2.44, S12: 2.75, S13: 2.56, S14: 2.81, S15: 2.63, S16: 2.56, S17: 2.31, S18: 2.56, S19: 2.38.
2025-08-20,09:02:22, Unidad: C°,S1: 2.25, S2: 2.75, S3: 2.25, S4: 2.88, S5: 2.25, S6: 2.25, S7: 3.00, S8: 3.13, S9: 2.50, S10: 3.13, S11: 2.44, S12: 2.75, S13: 2.56, S14: 2.88, S15: 2.63, S16: 2.63, S17: 2.31, S18: 2.56, S19: 2.44.
2025-08-20,09:03:22, Unidad: C°,S1: 2.19, S2: 2.81, S3: 2.31, S4: 2.88, S5: 2.25, S6: 2.25, S7: 3.00, S8: 3.06, S9: 2.50, S10: 3.19, S11: 2.44, S12: 2.75, S13: 2.56, S14: 2.88, S15: 2.63, S16: 2.63, S17: 2.31, S18: 2.56, S19: 2.44.
2025-08-20,09:04:22, Unidad: C°,S1: 2.31, S2: 2.81, S3: 2.31, S4: 2.88, S5: 2.25, S6: 2.25, S7: 3.00, S8: 3.06, S9: 2.56, S10: 3.19, S11: 2.50, S12: 2.75, S13: 2.56, S14: 2.88, S15: 2.63, S16: 2.63, S17: 2.38, S18: 2.63, S19: 2.44.
2025-08-20,09:05:22, Unidad: C°,S1: 2.25, S2: 2.81, S3: 2.31, S4: 2.94, S5: 2.25, S6: 2.25, S7: 3.00, S8: 3.13, S9: 2.56, S10: 3.19, S11: 2.50, S12: 2.75, S13: 2.56, S14: 2.88, S15: 2.63, S16: 2.63, S17: 2.38, S18: 2.63, S19: 2.44.
2025-08-20,09:06:22, Unidad: C°,S1: 2.31, S2: 2.81, S3: 2.31, S4: 2.94, S5: 2.25, S6: 2.31, S7: 3.00, S8: 3.13, S9: 2.56, S10: 3.19, S11: 2.50, S12: 2.75, S13: 2.56, S14: 2.88, S15: 2.63, S16: 2.63, S17: 2.38, S18: 2.63, S19: 2.44.
2025-08-20,09:07:22, Unidad: C°,S1: 2.31, S2: 2.81, S3: 2.25, S4: 2.94, S5: 2.25, S6: 2.25, S7: 3.00, S8: 3.13, S9: 2.56, S10: 3.13, S11: 2.50, S12: 2.81, S13: 2.56, S14: 2.88, S15: 2.69, S16: 2.63, S17: 2.38, S18: 2.63, S19: 2.44.
2025-08-20,09:08:22, Unidad: C°,S1: 2.25, S2: 2.88, S3: 2.25, S4: 2.88, S5: 2.31, S6: 2.25, S7: 3.00, S8: 3.13, S9: 2.56, S10: 3.19, S11: 2.50, S12: 2.81, S13: 2.56, S14: 2.88, S15: 2.69, S16: 2.63, S17: 2.38, S18: 2.63, S19: 2.44.
2025-08-20,09:09:22, Unidad: C°,S1: 2.38, S2: 2.81, S3: 2.31, S4: 2.88, S5: 2.31, S6: 2.31, S7: 3.06, S8: 3.19, S9: 2.56, S10: 3.19, S11: 2.50, S12: 2.81, S13: 2.63, S14: 2.94, S15: 2.69, S16: 2.63, S17: 2.38, S18: 2.63, S19: 2.50.
2025-08-20,09:10:22, Unidad: C°,S1: 2.31, S2: 2.88, S3: 2.31, S4: 2.94, S5: 2.31, S6: 2.31, S7: 3.06, S8: 3.19, S9: 2.63, S10: 3.25, S11: 2.50, S12: 2.81, S13: 2.63, S14: 2.94, S15: 2.69, S16: 2.63, S17: 2.38, S18: 2.63, S19: 2.50.
2025-08-20,09:11:22, Unidad: C°,S1: 2.38, S2: 2.88, S3: 2.31, S4: 2.94, S5: 2.31, S6: 2.31, S7: 3.06, S8: 3.19, S9: 2.63, S10: 3.25, S11: 2.50, S12: 2.81, S13: 2.63, S14: 2.94, S15: 2.69, S16: 2.63, S17: 2.44, S18: 2.63, S19: 2.50.
2025-08-20,09:12:22, Unidad: C°,S1: 2.31, S2: 2.88, S3: 2.31, S4: 2.94, S5: 2.38, S6: 2.31, S7: 3.06, S8: 3.13, S9: 2.63, S10: 3.19, S11: 2.56, S12: 2.81, S13: 2.63, S14: 2.94, S15: 2.69, S16: 2.69, S17: 2.44, S18: 2.69, S19: 2.50.
2025-08-20,09:13:22, Unidad: C°,S1: 2.31, S2: 2.88, S3: 2.31, S4: 2.94, S5: 2.31, S6: 2.31, S7: 3.06, S8: 3.19, S9: 2.63, S10: 3.25, S11: 2.56, S12: 2.88, S13: 2.63, S14: 2.94, S15: 2.69, S16: 2.69, S17: 2.44, S18: 2.69, S19: 2.50.
2025-08-20,09:14:22, Unidad: C°,S1: 2.38, S2: 2.94, S3: 2.38, S4: 2.94, S5: 2.31, S6: 2.31, S7: 3.06, S8: 3.13, S9: 2.63, S10: 3.25, S11: 2.56, S12: 2.88, S13: 2.63, S14: 2.94, S15: 2.69, S16: 2.69, S17: 2.44, S18: 2.69, S19: 2.50.
2025-08-20,09:15:22, Unidad: C°,S1: 2.38, S2: 2.88, S3: 2.38, S4: 2.94, S5: 2.38, S6: 2.31, S7: 3.13, S8: 3.19, S9: 2.63, S10: 3.25, S11: 2.56, S12: 2.88, S13: 2.63, S14: 2.94, S15: 2.75, S16: 2.69, S17: 2.44, S18: 2.69, S19: 2.50.
2025-08-20,09:16:22, Unidad: C°,S1: 2.44, S2: 2.88, S3: 2.38, S4: 2.94, S5: 2.38, S6: 2.38, S7: 3.13, S8: 3.19, S9: 2.69, S10: 3.25, S11: 2.56, S12: 2.88, S13: 2.63, S14: 2.94, S15: 2.75, S16: 2.69, S17: 2.44, S18: 2.69, S19: 2.56.
2025-08-20,09:17:22, Unidad: C°,S1: 2.44, S2: 2.88, S3: 2.38, S4: 2.94, S5: 2.38, S6: 2.38, S7: 3.13, S8: 3.19, S9: 2.69, S10: 3.31, S11: 2.56, S12: 2.88, S13: 2.69, S14: 3.00, S15: 2.75, S16: 2.69, S17: 2.44, S18: 2.69, S19: 2.56.
