Inicio: 2025-08-16 08:00:00; Duracion: 1440 min
2025-08-16,08:43:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:44:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:45:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.88, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:46:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.25, S6: 13.38, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.38, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:47:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.38, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:48:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.25, S6: 13.38, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.13.
2025-08-16,08:49:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:50:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 12.94, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.69, S8: 13.31, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:51:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:52:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:53:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 12.94, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:54:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:55:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.88, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:56:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.13, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:57:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:58:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:59:46, Unidad: C°,S1: 13.00, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.31, S9: 12.88, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:00:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:01:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:02:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.38, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:03:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.38, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.38, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:04:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.38, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:05:46, Unidad: C°,S1: 12.94, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:06:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:07:46, Unidad: C°,S1: 13.00, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.38, S7: 13.63, S8: 13.44, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:08:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:09:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.50, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:10:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.38, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.50, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:11:46, Unidad: C°,S1: 13.00, S2: 12.94, S3: 13.06, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:12:46, Unidad: C°,S1: 13.00, S2: 13.00, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.50, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.13, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:13:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.25, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:14:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.44, S7: 13.63, S8: 13.44, S9: 12.94, S10: 13.38, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,09:15:46, Unidad: C°,S1: 13.00, S2: 13.00, S3: 13.00, S4: 13.25, S5: 13.31, S6: 13.38, S7: 13.63, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
