Inicio: 2025-08-12 08:00:00; Duracion: 1440 min
2025-08-12,08:27:05, Unidad: C°,S1: 15.38, S2: 15.31, S3: 15.38, S4: 15.69, S5: 17.06, S6: 15.50, S7: 15.50, S8: 15.75, S9: 15.69, S10: 15.38, S11: 15.63, S12: 15.25, S13: 15.44, S14: 15.44, S15: 15.56, S16: 15.38, S17: 15.38, S18: 15.31, S19: 15.38, S20: 15.31.
2025-08-12,08:28:05, Unidad: C°,S1: 15.44, S2: 15.38, S3: 15.38, S4: 15.69, S5: 17.00, S6: 15.50, S7: 15.50, S8: 15.75, S9: 15.75, S10: 15.44, S11: 15.50, S12: 15.25, S13: 15.50, S14: 15.44, S15: 15.56, S16: 15.44, S17: 15.44, S18: 15.31, S19: 15.38, S20: 15.31.
2025-08-12,08:29:05, Unidad: C°,S1: 15.44, S2: 15.38, S3: 15.38, S4: 15.75, S5: 17.00, S6: 15.50, S7: 15.56, S8: 15.75, S9: 15.69, S10: 15.44, S11: 15.50, S12: 15.25, S13: 15.44, S14: 15.44, S15: 15.56, S16: 15.44, S17: 15.44, S18: 15.31, S19: 15.38, S20: 15.31.
2025-08-12,08:30:05, Unidad: C°,S1: 15.44, S2: 15.44, S3: 15.38, S4: 15.75, S5: 17.00, S6: 15.44, S7: 15.50, S8: 15.75, S9: 15.69, S10: 15.38, S11: 15.63, S12: 15.25, S13: 15.50, S14: 15.44, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:31:05, Unidad: C°,S1: 15.44, S2: 15.38, S3: 15.38, S4: 15.81, S5: 17.06, S6: 15.56, S7: 15.50, S8: 15.75, S9: 15.69, S10: 15.44, S11: 15.56, S12: 15.25, S13: 15.50, S14: 15.44, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:32:05, Unidad: C°,S1: 15.44, S2: 15.44, S3: 15.44, S4: 15.75, S5: 17.00, S6: 15.56, S7: 15.50, S8: 15.75, S9: 15.69, S10: 15.44, S11: 15.69, S12: 15.31, S13: 15.50, S14: 15.44, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:33:05, Unidad: C°,S1: 15.44, S2: 15.38, S3: 15.44, S4: 15.75, S5: 17.06, S6: 15.50, S7: 15.56, S8: 15.75, S9: 15.69, S10: 15.44, S11: 15.56, S12: 15.25, S13: 15.50, S14: 15.44, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:34:05, Unidad: C°,S1: 15.44, S2: 15.38, S3: 15.38, S4: 15.75, S5: 17.06, S6: 15.56, S7: 15.50, S8: 15.75, S9: 15.69, S10: 15.44, S11: 15.69, S12: 15.31, S13: 15.50, S14: 15.50, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:35:05, Unidad: C°,S1: 15.50, S2: 15.38, S3: 15.50, S4: 15.75, S5: 17.06, S6: 15.50, S7: 15.50, S8: 15.75, S9: 15.75, S10: 15.50, S11: 15.63, S12: 15.31, S13: 15.50, S14: 15.50, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:36:05, Unidad: C°,S1: 15.44, S2: 15.38, S3: 15.50, S4: 15.81, S5: 17.06, S6: 15.56, S7: 15.56, S8: 15.75, S9: 15.69, S10: 15.44, S11: 15.69, S12: 15.31, S13: 15.50, S14: 15.50, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
