# Inicio: 2025-09-13 08:00:00; Duracion: 1440 min
1757741999, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.25, S7: 0.69, S8: 0.38, S9: -0.06, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.44, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.19, S19: 0.06.
1757742059, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.19, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.63, S8: 0.44, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742119, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.69, S8: 0.38, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742179, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.25, S7: 0.63, S8: 0.44, S9: -0.06, S10: 0.56, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.19, S19: 0.06.
1757742239, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.06, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.69, S8: 0.44, S9: -0.06, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742299, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.19, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.69, S8: 0.38, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742359, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.19, S4: 0.56, S5: -0.25, S6: 0.25, S7: 0.63, S8: 0.44, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.19, S19: 0.06.
1757742419, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.25, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742479, Unidad: C°,S1: -0.13, S2: 0.13, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.63, S8: 0.44, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742539, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.63, S5: -0.25, S6: 0.19, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742599, Unidad: C°,S1: -0.13, S2: 0.13, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.63, S8: 0.44, S9: 0.00, S10: 0.50, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742659, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.13, S4: 0.69, S5: -0.31, S6: 0.19, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742719, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.19, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.69, S8: 0.44, S9: -0.06, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742779, Unidad: C°,S1: -0.13, S2: 0.19, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.19, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742839, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.13, S4: 0.63, S5: -0.31, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742899, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.63, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757742959, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743019, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.13, S4: 0.69, S5: -0.25, S6: 0.19, S7: 0.69, S8: 0.50, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.13, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743079, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.19, S4: 0.63, S5: -0.25, S6: 0.19, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743139, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.19, S4: 0.63, S5: -0.25, S6: 0.31, S7: 0.69, S8: 0.50, S9: 0.00, S10: 0.56, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743199, Unidad: C°,S1: 0.06, S2: 0.19, S3: 0.13, S4: 0.69, S5: -0.25, S6: 0.31, S7: 0.69, S8: 0.44, S9: 0.06, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.50, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
