# Inicio: 2025-09-12 08:00:00; Duracion: 1440 min
1757655779, Unidad: C°,S1: 0.69, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.63, S6: 0.56, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.06, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.00, S19: 0.00.
1757655839, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.13, S4: 0.50, S5: 0.63, S6: 0.63, S7: 0.44, S8: 0.44, S9: 0.63, S10: 0.44, S11: -0.25, S12: 1.06, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.00, S19: 0.00.
1757655899, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.63, S6: 0.56, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.00, S19: 0.00.
1757655959, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.63, S7: 0.44, S8: 0.50, S9: 0.56, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.00, S19: 0.00.
1757656019, Unidad: C°,S1: 0.63, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.69, S6: 0.56, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.88, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.00, S19: 0.00.
1757656079, Unidad: C°,S1: 0.69, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.69, S6: 0.50, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.06, S19: 0.00.
1757656139, Unidad: C°,S1: 0.75, S2: 0.13, S3: 0.00, S4: 0.56, S5: 0.69, S6: 0.63, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.00, S19: 0.00.
1757656199, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.56, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.06, S19: 0.00.
1757656259, Unidad: C°,S1: 0.75, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.63, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.06, S19: 0.00.
1757656319, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.69, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.06, S19: 0.00.
1757656379, Unidad: C°,S1: 0.63, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.63, S6: 0.63, S7: 0.44, S8: 0.50, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.06, S19: 0.00.
1757656439, Unidad: C°,S1: 0.63, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.69, S6: 0.63, S7: 0.44, S8: 0.56, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.06, S19: 0.00.
1757656499, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.63, S7: 0.44, S8: 0.56, S9: 0.63, S10: 0.44, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.88, S18: 0.06, S19: 0.00.
1757656559, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.69, S6: 0.63, S7: 0.44, S8: 0.56, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
